original_lon,original_lat,distance,formatted,latitude,longitude,name,housenumber,street,district,suburb,postcode,county_code,city,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
-79.95475172996521,32.7871572721836,0.4750540562507757,"McDonald's, Spring Street, Charleston, SC 29425, United States of America",32.787153,-79.9547517,McDonald's,,Spring Street,,Gadsden Green Homes,29425,,Charleston,Charleston County,South Carolina,SC,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-77.44853384792805,37.543805070369686,0,"Cary and Belvidere Residential College, 101 South Belvidere Street, Richmond, VA 23220, United States of America",37.5437571,-77.4486719,Cary and Belvidere Residential College,101,South Belvidere Street,,Oregon Hill,23220,,Richmond,,Virginia,VA,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-84.49192017316818,38.04203084954843,0,"Main + Rose, 350 East Short Street, Lexington, KY 40507, United States of America",38.042521199999996,-84.49162516626437,Main + Rose,350,East Short Street,,Central Business District,40507,,Lexington,Fayette County,Kentucky,KY,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-81.63624063134192,38.353002797131495,0.8566473348972498,"Chili's, Court Street, Charleston, WV 25301, United States of America",38.3530105,-81.6362408,Chili's,,Court Street,,Charleston Town Center Mall,25301,,Charleston,Kanawha County,West Virginia,WV,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-92.31726363301277,34.7506684545979,0,"Subway, Plateau Street, Little Rock, AR 72205, United States of America",34.750676,-92.31726842646503,Subway,,Plateau Street,,Pulaski Heights,72205,,Little Rock,Pulaski County,Arkansas,AR,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-92.20654606819151,38.58086554464831,2.3103922903655367,"Papa John's, Missouri Boulevard, Jefferson City, MO 65102, United States of America",38.5808854,-92.2065539,Papa John's,,Missouri Boulevard,Jefferson Township,,65102,,Jefferson City,Cole County,Missouri,MO,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-93.63050132989883,41.585801626192,0,"Temple Theater, 1011 Locust Street, Des Moines, IA 50309, United States of America",41.5859734,-93.63031180892614,Temple Theater,1011,Locust Street,,Western Gateway,50309,,Des Moines,Polk County,Iowa,IA,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-93.1228369474411,44.93101901689189,0,"McDonald's, Jefferson Avenue, Saint Paul, MN 55105, United States of America",44.9310224,-93.12284135,McDonald's,,Jefferson Avenue,,West Seventh - Fort Road,55105,,Saint Paul,Ramsey County,Minnesota,MN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-89.66103583574295,39.802644987727405,0,"522 West Jefferson Street, Springfield, IL 62702, United States of America",39.802610599999994,-89.66103756959541,,522,West Jefferson Street,,,62702,,Springfield,Sangamon County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-86.14189445972443,39.76652318000994,0,"Hardee's, East Washington Street, Indianapolis, IN 46219, United States of America",39.766521600000004,-86.1418969,Hardee's,,East Washington Street,Near Eastside,Irish Hill,46219,,Indianapolis,Marion County,Indiana,IN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-89.4045415520668,43.06801777542838,0,"McDonald's, 1102 Regent Street, Madison, WI 53706, United States of America",43.068036500000005,-89.40453265,McDonald's,1102,Regent Street,,South Campus,53706,,Madison,Dane County,Wisconsin,WI,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
-84.54517543315887,42.729496099209065,0.3101582753959643,"Wendy's, 413 South Cedar Street, Lansing, MI 48910, United States of America",42.7294985,-84.5451735,Wendy's,413,South Cedar Street,Lansing,Stadium District,48910,,Lansing,Ingham County,Michigan,MI,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
